Epochs,RMSE
1,3.1688168048858643
2,3.003908395767212
3,2.8182156085968018
4,2.51784086227417
5,2.080138921737671
6,1.53931725025177
7,1.020981788635254
8,0.6989928483963013
9,0.5721920728683472
10,0.5329610109329224
11,0.5039529800415039
12,0.4890730381011963
13,0.47321072220802307
14,0.4685123562812805
15,0.4443604052066803
16,0.4328109622001648
17,0.4220459461212158
18,0.431222528219223
19,0.42210569977760315
20,0.4045170843601227
21,0.402329683303833
22,0.4073514938354492
23,0.40281787514686584
24,0.4040190577507019
25,0.39588630199432373
26,0.3945557475090027
27,0.39655447006225586
28,0.3878931403160095
29,0.38584786653518677
30,0.38935211300849915
